Woonplaats,State,StateFull,Constellation,Bloodtype,Pounds,Kilograms,FeetInches,Centimeters,Gender
Den Haag,ZH,Zuid-Holland,Aquarius,O+,195.8,89,"5' 2""",157,female
Amstelveen,NH,Noord-Holland,Aquarius,A+,121.9,55.4,"5' 9""",175,female
Ridderkerk,ZH,Zuid-Holland,Cancer,B+,130.2,59.2,"5' 4""",163,female
Amsterdam,NH,Noord-Holland,Pisces,B+,114.6,52.1,"5' 1""",154,female
Utrecht,UT,Utrecht,Scorpio,A+,222,100.9,"5' 7""",169,male
Hoogkarspel,NH,Noord-Holland,Aries,A+,164.6,74.8,"5' 6""",168,female
Den Haag,ZH,Zuid-Holland,Scorpio,B+,127.4,57.9,"5' 4""",163,female
Den Haag,ZH,Zuid-Holland,Taurus,B+,249,113.2,"5' 6""",168,male
Emmen,DR,Drenthe,Leo,O+,202.8,92.2,"5' 1""",154,female
Spanga,FR,Friesland,Libra,B+,194.3,88.3,"6' 0""",183,male
Breda,NB,Noord-Brabant,Sagittarius,A+,130.5,59.3,"5' 3""",160,female
Maastricht,LI,Limburg,Cancer,B+,163.2,74.2,"5' 1""",154,female
Amsterdam,NH,Noord-Holland,Pisces,O+,194.7,88.5,"5' 9""",176,male
Velp,GE,Gelderland,Pisces,AB+,164.8,74.9,"5' 8""",173,male
Wekerom,GE,Gelderland,Capricorn,A+,200,90.9,"5' 9""",176,male
Eindhoven,NB,Noord-Brabant,Pisces,B+,226.6,103,"5' 9""",175,male
Houten,UT,Utrecht,Aquarius,O-,211.6,96.2,"5' 3""",160,female
Cadzand,ZE,Zeeland,Leo,O+,217.6,98.9,"5' 4""",162,female
Borne,OV,Overijssel,Pisces,O+,182.2,82.8,"5' 11""",181,male
Baarn,UT,Utrecht,Taurus,O+,130.2,59.2,"5' 6""",168,female
Nieuwegein,UT,Utrecht,Cancer,A-,208.3,94.7,"5' 8""",172,male
Roelofarendsveen,ZH,Zuid-Holland,Pisces,AB+,157.1,71.4,"6' 0""",183,male
Hoogvliet,ZH,Zuid-Holland,Pisces,A+,146.5,66.6,"5' 7""",169,male
Rotterdam,ZH,Zuid-Holland,Scorpio,O+,187.2,85.1,"5' 6""",167,female
Leeuwarden,FR,Friesland,Scorpio,A+,156.2,71,"5' 6""",167,female
Leidschendam,ZH,Zuid-Holland,Virgo,A+,216,98.2,"5' 7""",170,male
Amsterdam,NH,Noord-Holland,Leo,O+,173.1,78.7,"5' 4""",163,female
Borger,DR,Drenthe,Sagittarius,O+,139,63.2,"6' 0""",182,male
Haarlem,NH,Noord-Holland,Taurus,O+,215.4,97.9,"6' 1""",186,male
Wierden,OV,Overijssel,Libra,O-,217.4,98.8,"5' 6""",168,female
Capelle aan den IJssel,ZH,Zuid-Holland,Sagittarius,B+,208.6,94.8,"5' 8""",172,male
Capelle aan den IJssel,ZH,Zuid-Holland,Sagittarius,A+,160.4,72.9,"6' 0""",182,male
Nijmegen,GE,Gelderland,Sagittarius,B+,132.2,60.1,"5' 2""",158,female
Roosendaal,NB,Noord-Brabant,Virgo,AB+,224.8,102.2,"6' 0""",184,male
Emmen,DR,Drenthe,Scorpio,O+,150.5,68.4,"5' 7""",170,male
Zierikzee,ZE,Zeeland,Libra,B+,180.4,82,"5' 6""",167,male
Kaatsheuvel,NB,Noord-Brabant,Libra,B+,168.1,76.4,"6' 2""",187,male
Zoetermeer,ZH,Zuid-Holland,Pisces,O+,200.6,91.2,"5' 7""",170,female
Bergschenhoek,ZH,Zuid-Holland,Capricorn,A+,224.2,101.9,"6' 1""",186,male
Bergen op Zoom,NB,Noord-Brabant,Sagittarius,A+,174.9,79.5,"5' 2""",157,female
Apeldoorn,GE,Gelderland,Gemini,B+,204.2,92.8,"5' 7""",170,male
Aalst,GE,Gelderland,Gemini,B+,109.6,49.8,"5' 1""",156,female
Almere,FL,Flevoland,Aquarius,O+,183,83.2,"5' 6""",168,female
Apeldoorn,GE,Gelderland,Scorpio,O+,143.4,65.2,"5' 0""",153,female
Nieuwstadt,LI,Limburg,Pisces,AB+,242.7,110.3,"5' 5""",166,male
Oldenzaal,OV,Overijssel,Cancer,A+,122.8,55.8,"5' 7""",171,female
Lelystad,FL,Flevoland,Scorpio,B-,127.4,57.9,"6' 2""",189,male
Nijmegen,GE,Gelderland,Scorpio,B+,221.8,100.8,"6' 1""",186,male
Almere,FL,Flevoland,Virgo,O-,215.2,97.8,"5' 7""",170,female
Wapenveld,GE,Gelderland,Virgo,O-,175.1,79.6,"5' 6""",168,female
Eindhoven,NB,Noord-Brabant,Libra,O+,126.1,57.3,"5' 4""",163,female
s-Gravenzande,ZH,Zuid-Holland,Taurus,O+,156.4,71.1,"5' 4""",162,female
Delft,ZH,Zuid-Holland,Libra,O+,203.7,92.6,"5' 11""",180,male
Bocholtz,LI,Limburg,Sagittarius,A-,164.6,74.8,"5' 6""",167,male
Eindhoven,NB,Noord-Brabant,Virgo,O+,182.8,83.1,"6' 1""",185,male
Utrecht,UT,Utrecht,Aquarius,B+,216.3,98.3,"5' 4""",162,male
Amsterdam,NH,Noord-Holland,Gemini,B+,204.8,93.1,"5' 9""",175,male
Vlijmen,NB,Noord-Brabant,Virgo,B+,208.8,94.9,"5' 7""",170,male
Rotterdam,ZH,Zuid-Holland,Gemini,A+,204.8,93.1,"5' 7""",170,male
Bunschoten-Spakenburg,UT,Utrecht,Aquarius,O+,121.7,55.3,"5' 6""",168,female
Santpoort-Zuid,NH,Noord-Holland,Leo,A+,102.1,46.4,"5' 5""",165,female
Amsterdam,NH,Noord-Holland,Sagittarius,O+,215.8,98.1,"5' 3""",159,female
Rotterdam,ZH,Zuid-Holland,Aquarius,O+,122.3,55.6,"5' 5""",164,female
Biddinghuizen,FL,Flevoland,Pisces,O+,139,63.2,"5' 5""",164,female
Nistelrode,NB,Noord-Brabant,Sagittarius,O+,151.6,68.9,"5' 2""",158,female
Arnhem,GE,Gelderland,Gemini,B+,165.7,75.3,"5' 2""",158,female
Rotterdam,ZH,Zuid-Holland,Pisces,A+,150,68.2,"6' 1""",185,male
Schore,ZE,Zeeland,Libra,O+,142.6,64.8,"5' 10""",177,male
Boskoop,ZH,Zuid-Holland,Leo,A+,196,89.1,"5' 7""",169,male
Oosterhout,NB,Noord-Brabant,Aries,B+,117.3,53.3,"5' 2""",157,female
Gorinchem,ZH,Zuid-Holland,Sagittarius,B+,226.8,103.1,"5' 6""",167,male
Wormerveer,NH,Noord-Holland,Capricorn,AB+,137.7,62.6,"5' 1""",154,female
Roosendaal,NB,Noord-Brabant,Sagittarius,O+,180.8,82.2,"5' 5""",165,male
Vlissingen,ZE,Zeeland,Cancer,B-,176.2,80.1,"5' 3""",159,female
Vogelwaarde,ZE,Zeeland,Aries,O+,124.1,56.4,"5' 5""",164,female
Arnhem,GE,Gelderland,Gemini,AB+,144.1,65.5,"5' 10""",179,male
Leiden,ZH,Zuid-Holland,Leo,O+,197.1,89.6,"5' 6""",167,female
Kockengen,UT,Utrecht,Virgo,A+,107.1,48.7,"5' 2""",158,female
Oss,NB,Noord-Brabant,Sagittarius,O+,119.7,54.4,"4' 11""",151,female
Eersel,NB,Noord-Brabant,Scorpio,B+,129.4,58.8,"5' 5""",165,female
Wormerveer,NH,Noord-Holland,Libra,O+,152.9,69.5,"5' 7""",171,male
Amsterdam,NH,Noord-Holland,Aquarius,A+,139.3,63.3,"5' 8""",173,female
Krommenie,NH,Noord-Holland,Sagittarius,O+,115.3,52.4,"5' 3""",160,female
Amsterdam,NH,Noord-Holland,Capricorn,A+,150.7,68.5,"5' 8""",172,female
Hardinxveld-Giessendam,ZH,Zuid-Holland,Aries,A+,163.2,74.2,"5' 7""",170,male
Harmelen,UT,Utrecht,Leo,A+,159.5,72.5,"6' 0""",183,male
Nijmegen,GE,Gelderland,Aries,B+,153.6,69.8,"5' 7""",170,male
Orvelte,DR,Drenthe,Capricorn,B+,198.9,90.4,"5' 5""",164,female
Goes,ZE,Zeeland,Virgo,O+,149.6,68,"5' 2""",157,female
Apeldoorn,GE,Gelderland,Capricorn,B+,196.2,89.2,"6' 2""",188,male
Epse,GE,Gelderland,Libra,A+,216.9,98.6,"5' 5""",164,male
Amsterdam,NH,Noord-Holland,Sagittarius,A+,170.7,77.6,"5' 4""",162,female
Belfeld,LI,Limburg,Gemini,A+,184.8,84,"5' 5""",165,male
Maurik,GE,Gelderland,Scorpio,A+,132.9,60.4,"6' 2""",187,male
Luttelgeest,FL,Flevoland,Libra,B+,246.2,111.9,"5' 10""",177,male
Alkmaar,NH,Noord-Holland,Sagittarius,A+,203.9,92.7,"6' 1""",185,male
Roosendaal,NB,Noord-Brabant,Gemini,O+,223.5,101.6,"5' 11""",180,male
Capelle aan den IJssel,ZH,Zuid-Holland,Virgo,A+,150.3,68.3,"5' 1""",154,female
Amsterdam,NH,Noord-Holland,Virgo,A+,140.8,64,"6' 2""",189,male
Heibloem,LI,Limburg,Sagittarius,A+,191.2,86.9,"5' 2""",157,female
Amstelveen,NH,Noord-Holland,Virgo,O+,214.7,97.6,"5' 2""",158,female
Veenendaal,UT,Utrecht,Cancer,A+,198.4,90.2,"5' 5""",165,female
Bleiswijk,ZH,Zuid-Holland,Aries,A-,185.9,84.5,"5' 7""",169,male
Zwolle,OV,Overijssel,Cancer,A+,123.2,56,"5' 5""",165,female
Zevenaar,GE,Gelderland,Gemini,A+,180.4,82,"5' 5""",166,male
Enschede,OV,Overijssel,Aquarius,A+,225.3,102.4,"5' 11""",181,male
Bladel,NB,Noord-Brabant,Scorpio,O+,136.4,62,"5' 8""",173,male
Velp,GE,Gelderland,Capricorn,O+,205.7,93.5,"5' 10""",178,male
Heerhugowaard,NH,Noord-Holland,Aries,O+,169.8,77.2,"5' 0""",153,female
Oisterwijk,NB,Noord-Brabant,Aries,A+,165.7,75.3,"6' 2""",188,male
Rotterdam,ZH,Zuid-Holland,Gemini,A+,189.4,86.1,"5' 4""",163,female
Nispen,NB,Noord-Brabant,Pisces,A+,143.2,65.1,"5' 11""",180,male
Vleuten,UT,Utrecht,Sagittarius,A-,177.3,80.6,"5' 6""",168,male
Bunnik,UT,Utrecht,Aquarius,B-,142.1,64.6,"5' 7""",169,female
Utrecht,UT,Utrecht,Leo,O+,174.5,79.3,"5' 3""",159,female
Veghel,NB,Noord-Brabant,Capricorn,A+,213.2,96.9,"5' 7""",171,male
Leiden,ZH,Zuid-Holland,Leo,O+,152.9,69.5,"5' 10""",178,male
Hoofddorp,NH,Noord-Holland,Aries,O+,143.7,65.3,"5' 6""",168,female
Enschede,OV,Overijssel,Taurus,A+,181.5,82.5,"5' 1""",156,female
Capelle aan den IJssel,ZH,Zuid-Holland,Aquarius,A+,152.5,69.3,"5' 7""",171,male
Hoorn,NH,Noord-Holland,Taurus,AB+,150.3,68.3,"5' 6""",167,female
Beringe,LI,Limburg,Capricorn,A+,208.8,94.9,"5' 1""",156,female
Voorburg,ZH,Zuid-Holland,Sagittarius,A+,165.9,75.4,"5' 6""",167,female
Schiedam,ZH,Zuid-Holland,Libra,A-,215.6,98,"5' 7""",170,male
Nieuwe Wetering,ZH,Zuid-Holland,Gemini,AB+,218.9,99.5,"5' 6""",168,female
Zandvoort,NH,Noord-Holland,Gemini,A+,147.2,66.9,"5' 9""",174,male
Ter Apel,GR,Groningen,Scorpio,A+,150,68.2,"5' 5""",166,female
Rotterdam,ZH,Zuid-Holland,Pisces,O+,245.1,111.4,"5' 8""",172,male
Wanroij,NB,Noord-Brabant,Scorpio,B+,216.3,98.3,"5' 7""",171,female
Landhorst,NB,Noord-Brabant,Virgo,B+,225.1,102.3,"5' 7""",169,female
Oud-Alblas,ZH,Zuid-Holland,Gemini,B+,168.3,76.5,"6' 1""",186,male
Klarenbeek,GE,Gelderland,Cancer,A+,166.3,75.6,"5' 5""",164,female
Wormerveer,NH,Noord-Holland,Leo,A+,170.3,77.4,"4' 11""",150,female
Lochem,GE,Gelderland,Leo,O+,198.2,90.1,"5' 4""",163,male
Someren,NB,Noord-Brabant,Virgo,O+,214.1,97.3,"5' 7""",169,female
Amsterdam,NH,Noord-Holland,Sagittarius,B+,195.6,88.9,"5' 7""",171,male
Dronryp,FR,Friesland,Pisces,A+,215.8,98.1,"5' 9""",174,female
Enschede,OV,Overijssel,Aquarius,B+,144.5,65.7,"5' 7""",170,male
Bentveld,NH,Noord-Holland,Pisces,B+,158.2,71.9,"5' 9""",175,male
Hedel,GE,Gelderland,Cancer,A+,145.2,66,"5' 7""",171,male
Zaandam,NH,Noord-Holland,Capricorn,A+,158.2,71.9,"6' 2""",188,male
Vlaardingen,ZH,Zuid-Holland,Leo,B+,198.7,90.3,"5' 7""",170,male
Westerhaar-Vriezenveensewijk,OV,Overijssel,Leo,A+,228.4,103.8,"6' 0""",182,male
Druten,GE,Gelderland,Aries,B+,185.9,84.5,"5' 8""",172,male
Arnhem,GE,Gelderland,Pisces,B-,167.6,76.2,"5' 2""",158,female
Apeldoorn,GE,Gelderland,Virgo,O+,207.9,94.5,"6' 2""",188,male
Amsterdam,NH,Noord-Holland,Leo,O+,130.9,59.5,"5' 6""",167,female
Roosendaal,NB,Noord-Brabant,Sagittarius,AB+,190.1,86.4,"5' 7""",169,female
Wijhe,OV,Overijssel,Virgo,B+,139.7,63.5,"6' 0""",183,male
Katwijk,ZH,Zuid-Holland,Aquarius,O+,156.9,71.3,"6' 1""",185,male
Doetinchem,GE,Gelderland,Aquarius,O+,121,55,"5' 6""",168,female
Goutum,FR,Friesland,Cancer,A+,170.5,77.5,"5' 7""",169,male
Amsterdam-Zuidoost,NH,Noord-Holland,Leo,O+,136.8,62.2,"5' 8""",173,male
Raalte,OV,Overijssel,Scorpio,O+,123,55.9,"5' 4""",162,female
Amsterdam,NH,Noord-Holland,Sagittarius,B+,145,65.9,"5' 8""",173,male
Apeldoorn,GE,Gelderland,Aries,B+,235.2,106.9,"5' 7""",169,male
Leusden,UT,Utrecht,Pisces,O+,238.5,108.4,"5' 11""",181,male
Den Haag,ZH,Zuid-Holland,Cancer,O+,186.3,84.7,"5' 9""",174,male
Buren,FR,Friesland,Aries,A+,216.3,98.3,"5' 10""",178,male
Aalsmeer,NH,Noord-Holland,Aquarius,B+,148.9,67.7,"5' 5""",164,female
Sint Annaparochie,FR,Friesland,Pisces,O+,149.8,68.1,"6' 1""",185,male
Kerkrade,LI,Limburg,Virgo,AB+,154.9,70.4,"5' 9""",175,male
Oss,NB,Noord-Brabant,Taurus,AB+,214.1,97.3,"6' 0""",182,male
Velserbroek,NH,Noord-Holland,Cancer,O+,128.3,58.3,"5' 3""",159,female
Geldrop,NB,Noord-Brabant,Capricorn,A+,151.8,69,"5' 9""",174,female
Velp,GE,Gelderland,Virgo,O+,217.8,99,"5' 6""",168,female
Azewijn,GE,Gelderland,Aquarius,O+,228.6,103.9,"5' 9""",174,male
Nijmegen,GE,Gelderland,Capricorn,B+,158.6,72.1,"5' 9""",174,male
Nijeveen,DR,Drenthe,Leo,B+,214.5,97.5,"5' 9""",174,female
Dalen,DR,Drenthe,Cancer,B+,140.8,64,"5' 7""",171,male
Onstwedde,GR,Groningen,Leo,O+,144.3,65.6,"5' 2""",158,female
Oostkapelle,ZE,Zeeland,Capricorn,A+,211,95.9,"5' 2""",158,female
Klarenbeek,GE,Gelderland,Scorpio,AB+,210.8,95.8,"6' 2""",189,male
Oosterzee,FR,Friesland,Aries,B+,160.6,73,"5' 1""",155,female
Almere,FL,Flevoland,Taurus,O+,160.2,72.8,"5' 11""",181,male
Oudenbosch,NB,Noord-Brabant,Scorpio,A-,228.1,103.7,"5' 1""",156,female
Roermond,LI,Limburg,Virgo,O-,141,64.1,"5' 5""",164,female
Rotterdam,ZH,Zuid-Holland,Leo,O+,129.4,58.8,"5' 1""",154,female
Groningen,GR,Groningen,Aries,A+,217.4,98.8,"5' 6""",167,male
Amsterdam,NH,Noord-Holland,Aquarius,O+,133.3,60.6,"6' 1""",185,male
Dongen,NB,Noord-Brabant,Capricorn,O+,196.5,89.3,"5' 4""",162,female
Wenum Wiesel,GE,Gelderland,Leo,B+,124.5,56.6,"5' 0""",153,female
Leeuwarden,FR,Friesland,Capricorn,O+,228.1,103.7,"5' 10""",179,male
Lienden,GE,Gelderland,Aquarius,A+,181.3,82.4,"5' 9""",175,female
Heiloo,NH,Noord-Holland,Scorpio,O+,235.6,107.1,"5' 6""",167,male
s-Hertogenbosch,NB,Noord-Brabant,Capricorn,A-,159.3,72.4,"6' 0""",183,male
Wijchen,GE,Gelderland,Pisces,B+,233.6,106.2,"5' 1""",156,female
Zwaag,NH,Noord-Holland,Aquarius,O-,188.1,85.5,"5' 5""",164,male
Apeldoorn,GE,Gelderland,Sagittarius,A+,222.9,101.3,"5' 9""",176,male
Woerden,UT,Utrecht,Taurus,O+,201.1,91.4,"5' 5""",166,female
Wassenaar,ZH,Zuid-Holland,Capricorn,O+,201.3,91.5,"5' 5""",164,female
Arnhem,GE,Gelderland,Libra,O+,206.4,93.8,"5' 6""",167,female
Eijsden,LI,Limburg,Aries,O+,214.3,97.4,"5' 7""",170,male
Uden,NB,Noord-Brabant,Pisces,O+,205.5,93.4,"5' 11""",180,male
IJmuiden,NH,Noord-Holland,Sagittarius,B+,198.2,90.1,"6' 0""",184,male
Enschede,OV,Overijssel,Virgo,A+,143.9,65.4,"5' 8""",172,male
Boxtel,NB,Noord-Brabant,Taurus,B+,218.7,99.4,"5' 11""",181,male
Kampen,OV,Overijssel,Gemini,B+,222.6,101.2,"5' 7""",169,male
Leeuwarden,FR,Friesland,Scorpio,A+,182.8,83.1,"5' 2""",157,female
Den Haag,ZH,Zuid-Holland,Cancer,B+,223.3,101.5,"5' 8""",172,male
Rotterdam,ZH,Zuid-Holland,Aquarius,A+,171.6,78,"5' 11""",181,male
s-Hertogenbosch,NB,Noord-Brabant,Pisces,A+,142.8,64.9,"5' 5""",164,male
Lithoijen,NB,Noord-Brabant,Cancer,O+,236.5,107.5,"5' 8""",173,male
Baarlo,LI,Limburg,Cancer,O+,224.2,101.9,"5' 7""",170,female
Uithoorn,NH,Noord-Holland,Leo,B-,201.3,91.5,"5' 2""",157,female
Almelo,OV,Overijssel,Libra,B+,125.6,57.1,"5' 9""",174,female
Alkmaar,NH,Noord-Holland,Aquarius,B+,215.8,98.1,"6' 2""",188,male
Genemuiden,OV,Overijssel,Cancer,A+,191.6,87.1,"6' 2""",188,male
Almere,FL,Flevoland,Pisces,O+,144.1,65.5,"5' 8""",172,female
Hoogerheide,NB,Noord-Brabant,Gemini,O+,148.3,67.4,"5' 8""",172,male
Valkenswaard,NB,Noord-Brabant,Libra,O+,202,91.8,"5' 9""",174,female
Bussum,NH,Noord-Holland,Pisces,A+,169.4,77,"5' 6""",167,male
Elburg,GE,Gelderland,Scorpio,B+,154.7,70.3,"5' 9""",174,female
Rotterdam,ZH,Zuid-Holland,Gemini,O+,202.6,92.1,"5' 8""",173,male
Beverwijk,NH,Noord-Holland,Capricorn,AB+,214.7,97.6,"5' 1""",156,female
Heerlen,LI,Limburg,Capricorn,B+,228.6,103.9,"5' 9""",176,male
Lemmer,FR,Friesland,Pisces,B+,162.4,73.8,"5' 9""",174,male
Beilen,DR,Drenthe,Taurus,B+,223.7,101.7,"5' 4""",163,male
Rotterdam,ZH,Zuid-Holland,Scorpio,B+,211,95.9,"5' 5""",165,female
Nieuwleusen,OV,Overijssel,Scorpio,A+,164.6,74.8,"5' 2""",158,female
Vinkeveen,UT,Utrecht,Libra,B+,153.1,69.6,"5' 4""",162,female
Delfzijl,GR,Groningen,Sagittarius,A+,124.5,56.6,"5' 4""",163,female
Apeldoorn,GE,Gelderland,Leo,B+,224,101.8,"5' 10""",179,male
Eindhoven,NB,Noord-Brabant,Sagittarius,O+,152.2,69.2,"5' 8""",173,male
Eindhoven,NB,Noord-Brabant,Pisces,A+,220.7,100.3,"6' 2""",187,male
Groningen,GR,Groningen,Cancer,A+,136.2,61.9,"5' 9""",176,male
Gouda,ZH,Zuid-Holland,Pisces,O+,137.5,62.5,"5' 5""",164,female
Weert,LI,Limburg,Cancer,A+,152,69.1,"6' 0""",182,male
Eemdijk,UT,Utrecht,Gemini,O+,196.5,89.3,"5' 5""",165,female
Leidschendam,ZH,Zuid-Holland,Aries,A+,196.9,89.5,"6' 0""",182,male
Bergen op Zoom,NB,Noord-Brabant,Leo,O+,200.9,91.3,"5' 5""",165,female
Ulft,GE,Gelderland,Capricorn,O+,145.2,66,"5' 9""",174,male
Zandvoort,NH,Noord-Holland,Taurus,A+,141.5,64.3,"5' 5""",165,female
Katwijk,ZH,Zuid-Holland,Libra,O+,120.1,54.6,"5' 4""",162,female
Wageningen,GE,Gelderland,Cancer,B+,207.2,94.2,"5' 2""",158,female
Naarden,NH,Noord-Holland,Pisces,B+,197.1,89.6,"5' 10""",178,male
Ugchelen,GE,Gelderland,Libra,O-,157.3,71.5,"5' 1""",155,female
Emmen,DR,Drenthe,Leo,AB+,179.5,81.6,"5' 9""",176,male
Haarlem,NH,Noord-Holland,Libra,O+,218.2,99.2,"5' 10""",179,male
Hoorn,NH,Noord-Holland,Aries,O+,182.6,83,"5' 1""",155,female
Haarlem,NH,Noord-Holland,Taurus,A+,128,58.2,"5' 6""",167,female
Eindhoven,NB,Noord-Brabant,Virgo,A+,208.6,94.8,"5' 4""",162,female
Veldhoven,NB,Noord-Brabant,Leo,AB+,219.1,99.6,"5' 7""",171,female
Leusden,UT,Utrecht,Aries,O+,156.9,71.3,"5' 7""",170,female
Amsterdam,NH,Noord-Holland,Aquarius,B+,176.4,80.2,"5' 4""",163,female
Harich,FR,Friesland,Sagittarius,A+,195.6,88.9,"5' 2""",158,female
Utrecht,UT,Utrecht,Pisces,A+,213.8,97.2,"5' 4""",162,female
Eindhoven,NB,Noord-Brabant,Aries,B+,178.6,81.2,"5' 3""",159,female
Beinsdorp,NH,Noord-Holland,Virgo,A+,222.6,101.2,"5' 8""",173,male
Andelst,GE,Gelderland,Taurus,O+,188.8,85.8,"5' 7""",170,male
Oosterwolde,GE,Gelderland,Pisces,B+,221.1,100.5,"5' 10""",179,male
Putten,GE,Gelderland,Virgo,A+,138.8,63.1,"5' 8""",173,male
Nieuwe Niedorp,NH,Noord-Holland,Sagittarius,O+,153.8,69.9,"5' 2""",158,female
Huizinge,GR,Groningen,Taurus,B+,197.3,89.7,"6' 2""",188,male
Oegstgeest,ZH,Zuid-Holland,Gemini,A+,162.8,74,"5' 7""",169,female
Rotterdam,ZH,Zuid-Holland,Capricorn,B+,120.8,54.9,"5' 3""",159,female
Eindhoven,NB,Noord-Brabant,Aries,B+,207,94.1,"5' 7""",170,male
Sassenheim,ZH,Zuid-Holland,Aries,A+,177.1,80.5,"5' 5""",165,female
Oisterwijk,NB,Noord-Brabant,Pisces,O+,221.3,100.6,"5' 5""",164,female
Ter Apel,GR,Groningen,Gemini,B+,126.1,57.3,"5' 4""",162,female
Dordrecht,ZH,Zuid-Holland,Taurus,B+,189,85.9,"5' 9""",176,male
Maarssen,UT,Utrecht,Taurus,A+,125.6,57.1,"5' 3""",159,female
Zoetermeer,ZH,Zuid-Holland,Gemini,AB+,112.6,51.2,"5' 7""",169,female
