Age,Pounds,Kilograms,FeetInches,Centimeters
43,119.7,54.4,5.8,172
30,223.7,101.7,6.2,187
54,147.6,67.1,5.7,170
33,118.1,53.7,5.7,170
69,210.5,95.7,5.3,161
41,239.4,108.8,5.7,169
54,218.9,99.5,5.1,155
23,104.9,47.7,5.4,162
37,213,96.8,5.11,181
70,144.3,65.6,6,182
51,227,103.2,6.2,188
21,147.2,66.9,5.8,173
63,211.2,96,5.4,162
50,141.7,64.4,5.9,175
66,214.9,97.7,5.5,165
35,242.9,110.4,5.9,176
59,151.4,68.8,5.9,175
27,211.4,96.1,5.7,170
65,200.9,91.3,5.6,168
63,142.6,64.8,5.6,168
67,211,95.9,5.7,170
60,168.1,76.4,5.9,174
61,161.5,73.4,5.4,162
42,235.2,106.9,5.11,181
23,178.9,81.3,5.8,173
44,214.9,97.7,5.4,163
20,170.1,77.3,5.6,167
22,143,65,5.3,159
45,189,85.9,5.8,172
48,253.2,115.1,5.8,172
54,201.1,91.4,6,183
63,216.7,98.5,5.9,176
40,161.7,73.5,5.6,167
38,180,81.8,5.7,171
67,157.1,71.4,5,152
62,153.3,69.7,5,152
32,207.5,94.3,5.9,175
70,223.7,101.7,5.7,170
23,225.5,102.5,5.7,171
44,154.4,70.2,5.8,173
68,181.5,82.5,5.2,158
59,205,93.2,6,182
27,235.4,107,5.1,177
63,211.9,96.3,5.1,179
42,147.8,67.2,5.6,168
51,246.4,112,5.6,168
68,179.1,81.4,5.6,168
18,126.1,57.3,5.6,168
39,161.9,73.6,5.5,166
33,161.3,73.3,6,184
39,212.3,96.5,5.8,173
27,174.9,79.5,6.2,187
32,203.5,92.5,5.9,175
23,146.7,66.7,5.6,167
52,247.1,112.3,5.5,166
31,142.3,64.7,5.5,165
61,204.8,93.1,6.1,185
31,208.3,94.7,5.7,169
36,210.1,95.5,5.1,177
42,218,99.1,5.7,169
69,149.8,68.1,5.7,170
22,204.2,92.8,5.5,166
25,165.7,75.3,5.6,167
31,205,93.2,5.6,168
62,117.7,53.5,5.4,162
57,233.9,106.3,6,182
66,196.2,89.2,5.6,168
59,124.5,56.6,5.8,173
24,143.9,65.4,5.5,166
18,204.8,93.1,6.2,189
32,200.2,91,5.3,161
30,153.1,69.6,5.6,167
68,155.8,70.8,5.1,155
42,175.3,79.7,5.3,161
62,156.2,71,5.11,181
68,193.8,88.1,6,182
58,178,80.9,5.7,170
55,218.7,99.4,6,183
61,174,79.1,5.1,156
53,167.6,76.2,5.6,167
27,202.8,92.2,6,184
57,167.4,76.1,5,152
29,120.1,54.6,5.1,154
44,246.8,112.2,5.6,168
42,187.7,85.3,5.1,156
67,218.5,99.3,5.6,168
66,142.3,64.7,5.9,174
54,149.8,68.1,6.1,186
18,180.6,82.1,5.8,172
54,165.4,75.2,5.8,172
65,231.7,105.3,5.1,179
55,141.2,64.2,5.8,172
30,176.9,80.4,5.7,171
60,205.5,93.4,5.11,180
60,211,95.9,5.5,165
58,161,73.2,5.6,167
50,210.1,95.5,5.7,169
64,137.7,62.6,5.5,165
33,168.5,76.6,5.1,179
51,228.6,103.9,5.3,159
20,173.1,78.7,5.1,154
65,152.7,69.4,5.5,165
52,173.8,79,5.1,154
51,225.9,102.7,6.2,187
20,133.1,60.5,5.7,169
28,211.4,96.1,6.2,187
21,114,51.8,5.4,163
44,233.4,106.1,6.1,186
37,123.4,56.1,5.2,158
30,135.7,61.7,5.3,159
49,219.3,99.7,5.7,169
58,234.5,106.6,5.11,180
68,164.1,74.6,5.1,156
65,232.3,105.6,6,182
53,204.8,93.1,5.1,179
34,147.4,67,5.3,161
66,121,55,5.2,158
55,243.8,110.8,5.8,173
60,157.5,71.6,5.7,170
18,180.2,81.9,5.1,178
23,193.2,87.8,5.1,179
28,207,94.1,5.2,158
43,156.2,71,5.9,174
34,212.1,96.4,6.2,189
40,145.2,66,5.2,158
47,163,74.1,5.3,161
26,113.1,51.4,5.7,169
21,159.5,72.5,5.6,167
67,224.4,102,5.7,170
66,156.2,71,5.9,174
62,224.2,101.9,5.7,169
41,224.4,102,5.4,163
59,169.2,76.9,5.1,178
34,135.1,61.4,5.1,156
51,203.1,92.3,5.9,175
68,178.6,81.2,5.1,156
23,145.4,66.1,6.2,188
30,234.7,106.7,6.2,189
33,169.6,77.1,5.9,174
19,111.1,50.5,5.5,164
26,127.4,57.9,5.8,172
44,146.5,66.6,5.6,167
50,171.4,77.9,5.8,172
33,192.5,87.5,5.1,155
45,205.5,93.4,5.8,173
52,116.6,53,5.3,160
32,118.4,53.8,5.8,173
27,216.5,98.4,5.7,171
33,245.3,111.5,5.1,177
46,118.8,54,5.1,156
18,140.1,63.7,5.6,167
31,122.3,55.6,5.2,157
34,151.6,68.9,5.9,174
40,210.1,95.5,6.1,185
55,194,88.2,5.9,175
24,233.4,106.1,5.9,175
53,248.2,112.8,5.9,175
50,203.3,92.4,5.9,174
30,126.1,57.3,5.7,171
34,193.8,88.1,6,184
42,187.7,85.3,6,182
61,150,68.2,6,182
35,139.7,63.5,5.3,161
69,195.6,88.9,5.5,165
42,145,65.9,5.5,165
62,211.9,96.3,5.5,164
45,191.6,87.1,6,183
33,201.1,91.4,6.2,187
49,122.8,55.8,5.3,159
18,175.6,79.8,5.1,156
49,158.2,71.9,5.1,155
51,190.3,86.5,6.1,185
23,140.8,64,5.11,181
59,139.3,63.3,6.2,187
57,242.2,110.1,5.1,178
58,192.7,87.6,5.2,157
24,126.1,57.3,5.7,170
39,113.3,51.5,5.1,155
39,199.3,90.6,5.1,178
20,134.2,61,5.9,176
60,207,94.1,6,184
55,185,84.1,5.11,181
24,128,58.2,5.7,171
39,166.5,75.7,5.1,156
49,191.2,86.9,6,183
42,224.8,102.2,5.3,161
67,183.9,83.6,5.7,169
60,182.2,82.8,5.6,168
39,208.1,94.6,5.3,161
49,179.1,81.4,5.7,171
21,136.8,62.2,5.4,162
61,216.9,98.6,5.7,169
40,222.9,101.3,5.6,167
51,192.9,87.7,6.2,187
67,192.5,87.5,6,184
42,192.3,87.4,5.6,167
26,121.9,55.4,5.1,156
40,161.3,73.3,5.2,157
34,220.9,100.4,5.3,161
30,226.4,102.9,5.7,170
50,156.6,71.2,5.7,171
21,205.9,93.6,5.6,168
34,196.7,89.4,5.11,181
49,178,80.9,5.7,170
51,112.2,51,5.3,161
63,156,70.9,5.7,171
28,163.7,74.4,5.8,173
54,203.3,92.4,5.2,157
56,193.8,88.1,5.7,171
68,161.5,73.4,5.9,175
34,245.7,111.7,5.8,173
60,158.4,72,5.6,167
56,171.8,78.1,5.7,170
29,184.1,83.7,6.2,187
69,153.1,69.6,5.1,154
45,230.1,104.6,5.1,156
56,193.6,88,5.6,168
29,215.8,98.1,5.4,163
27,207,94.1,5.4,162
54,154.2,70.1,5.8,173
27,228.6,103.9,6.2,187
64,195.8,89,5.5,166
41,166.5,75.7,5.1,178
37,166.1,75.5,5.3,161
54,155.3,70.6,5.6,167
35,132.7,60.3,5.8,173
63,169.4,77,6.1,185
49,202.2,91.9,5.3,161
31,192.9,87.7,5.1,154
49,160.2,72.8,5.4,162
46,205.3,93.3,6,184
64,115.7,52.6,5.1,155
27,128,58.2,5.1,156
61,160.8,73.1,5.4,162
24,185.5,84.3,5.6,167
40,166.3,75.6,5.7,171
26,136.6,62.1,5.7,171
37,123,55.9,5.1,155
35,218.5,99.3,6,184
52,180.6,82.1,5.9,175
23,203.5,92.5,5.7,169
28,175.1,79.6,5.1,178
36,240.5,109.3,5.11,180
56,213.8,97.2,5.1,154
25,166.1,75.5,5.8,172
24,183.5,83.4,5.4,163
22,151.1,68.7,5.1,154
59,247.5,112.5,5.9,176
20,150,68.2,5.11,180
59,173.6,78.9,5.5,164
48,164.8,74.9,5.8,173
39,161.9,73.6,6.1,185
64,205.7,93.5,5.5,165
48,119.2,54.2,5.3,159
29,229.9,104.5,5.9,176
61,201.7,91.7,5.7,170
35,138.4,62.9,5.1,179
26,183.7,83.5,6.3,190
50,224.6,102.1,5.9,175
19,183,83.2,5,152
29,188.5,85.7,5.11,181
53,144.1,65.5,5.6,167
47,218.5,99.3,5.7,171
33,185.7,84.4,5.1,177
59,210.3,95.6,5.8,172
62,176,80,5.1,156
32,164.8,74.9,6.1,185
22,145.9,66.3,5.3,161
46,207.5,94.3,6,182
50,184.8,84,5.8,173
67,181.5,82.5,5.9,175
60,170.7,77.6,5.4,163
58,243.5,110.7,5.8,173
46,180.2,81.9,5.6,168
39,153.6,69.8,5.7,171
23,147.2,66.9,5.5,164
45,144.8,65.8,5.3,159
40,219.8,99.9,5.9,175
60,175.3,79.7,5.4,163
64,203.5,92.5,5.11,181
65,139.7,63.5,5.7,169
30,222.4,101.1,5.7,169
56,176.2,80.1,5.1,179
60,170.9,77.7,6,183
68,200.2,91,5.7,169
52,148.7,67.6,5.2,158
34,111.5,50.7,5.5,166
53,163.5,74.3,5.5,166
59,188.5,85.7,5.11,180
67,185.7,84.4,5.7,171
37,221.1,100.5,6.1,186
23,113.1,51.4,5.6,168
32,145.9,66.3,6.2,189
60,188.8,85.8,5.8,172
58,184.8,84,5.4,162
38,215.8,98.1,5.6,168
61,186.1,84.6,5.2,157
23,147.4,67,5.9,175
43,257.2,116.9,5.1,179
40,194.3,88.3,5.1,178
58,219.3,99.7,5.1,154
44,240.7,109.4,6.1,186
44,239.6,108.9,6.2,187
55,142.3,64.7,5.7,170
39,233.6,106.2,5.7,170
61,167,75.9,5.5,166
37,238.9,108.6,5.9,175
56,185.9,84.5,5.7,169
46,140.6,63.9,5.4,163
35,227.3,103.3,5.8,172
67,184.6,83.9,5.7,170
70,177.5,80.7,5.5,164
26,206.8,94,6.2,188
55,158.4,72,5.5,166
36,187.9,85.4,5.7,171
47,234.5,106.6,5.8,173
39,192.7,87.6,5.9,174
19,140.1,63.7,5.1,155
30,137.9,62.7,6.2,187
66,180.6,82.1,5.5,164
37,161.7,73.5,5.1,179
31,217.8,99,5.6,167
39,226.8,103.1,5.7,170
20,100.3,45.6,4.11,151
49,251.9,114.5,6,184
26,222.2,101,6.1,185
24,191.2,86.9,5.8,173
18,110.2,50.1,5.9,175
55,112.9,51.3,5.1,154
46,242.9,110.4,6,183
28,209.2,95.1,6,182
24,182.4,82.9,6,184
37,202.8,92.2,5.7,171
58,185.5,84.3,5.8,173
66,204.6,93,5.1,179
27,219.1,99.6,5.11,180
21,218.7,99.4,5.11,180
40,150.7,68.5,5.8,173
38,150.3,68.3,6.2,189
67,202,91.8,5.8,173
36,161.3,73.3,5.2,158
55,165,75,6.1,185
34,163.9,74.5,5.11,180
57,178.2,81,5.7,169
27,222,100.9,5.4,163
38,185.5,84.3,6.1,185
44,152,69.1,5.9,174
53,226.4,102.9,5.7,170
66,137.9,62.7,5.9,174
18,131.3,59.7,6,182
41,196.2,89.2,5.6,168
33,145.4,66.1,5.5,166
46,169.6,77.1,5.5,164
28,189.6,86.2,5.8,173
70,126.5,57.5,5.7,170
70,150.7,68.5,6,183
20,195.6,88.9,5.2,157
21,154.9,70.4,5.1,156
61,212.5,96.6,5.7,170
64,170.9,77.7,5.7,169
33,175.1,79.6,5.3,160
64,159.5,72.5,5.1,178
27,161.9,73.6,6.2,189
27,157.1,71.4,5.8,173
40,139,63.2,5.3,160
20,189.9,86.3,6.2,189
19,165,75,5.9,175
28,159.5,72.5,6,184
62,194.5,88.4,5.5,166
42,223.7,101.7,5.5,166
63,158.6,72.1,5.4,163
59,151.4,68.8,6,183
27,137.5,62.5,5.6,167
31,143.9,65.4,5.8,173
34,180.6,82.1,6.2,188
38,216.5,98.4,5.9,175
38,173.6,78.9,5.7,171
19,137.9,62.7,5.1,156
64,146.3,66.5,6.1,185
19,133.1,60.5,5.6,168
55,182.6,83,5.4,162
39,115.5,52.5,5.8,172
37,125.6,57.1,5.4,163
69,162.6,73.9,6.1,185
31,127.2,57.8,5.7,169
46,198.7,90.3,5.1,178
49,251.2,114.2,5.7,171
37,246.4,112,6,183
28,236.1,107.3,5.11,180
32,132.4,60.2,5.4,163
64,173.8,79,5.1,155
61,148.1,67.3,5.1,178
65,216.9,98.6,5.5,166
66,232.1,105.5,5.9,175
38,231.7,105.3,5.1,177
60,158,71.8,6.2,187
35,131.8,59.9,5.9,175
25,143.7,65.3,5.1,154
38,168.7,76.7,6.1,185
32,197.6,89.8,5.7,171
67,186.1,84.6,5.6,168
56,168.1,76.4,6,184
47,231.7,105.3,6.1,186
31,227.3,103.3,6.1,186
61,211.6,96.2,5.5,164
25,169.2,76.9,5.5,166
69,116.2,52.8,5.3,161
37,205.3,93.3,5.8,172
28,202.6,92.1,5.7,170
69,167,75.9,5.4,163
22,182.6,83,5.11,180
26,143.7,65.3,5.7,170
51,192.1,87.3,5.7,170
38,170.3,77.4,5.8,173
65,136.6,62.1,6,184
55,195.1,88.7,6.2,187
48,111.5,50.7,5.6,167
67,137.9,62.7,6,182
34,164.6,74.8,5.3,159
27,137.9,62.7,5.3,161
64,138.2,62.8,5.9,174
38,136.4,62,5.4,162
70,142.1,64.6,5.5,164
59,207.9,94.5,5.11,180
52,180.8,82.2,5.7,169
27,180.6,82.1,5.3,161
35,180.4,82,5.3,159
37,246.4,112,5.9,175
34,160.4,72.9,5.9,175
70,143,65,5.3,160
33,110.7,50.3,5.9,175
19,148.9,67.7,5.8,172
45,223.1,101.4,5.6,167
65,162.4,73.8,5.11,181
54,221.1,100.5,5.3,161
69,135.3,61.5,5.6,168
53,162.6,73.9,6,184
51,149.8,68.1,5.5,166
65,206.1,93.7,5.4,163
57,197.3,89.7,5.1,156
20,175.8,79.9,5.7,169
46,225.7,102.6,5.1,155
44,226.2,102.8,5.4,162
53,217.4,98.8,5.6,168
59,150,68.2,5.6,168
70,237.2,107.8,6,184
55,205.7,93.5,6.2,188
53,163.9,74.5,5.6,167
39,195.8,89,5.9,175
34,218.5,99.3,5.6,168
39,191.4,87,5.5,164
19,175.3,79.7,5.7,171
55,212.7,96.7,5.5,164
60,158.6,72.1,5.1,179
43,126.5,57.5,5.3,159
46,150,68.2,6.2,188
50,202.2,91.9,5.4,163
40,201.7,91.7,5.2,157
51,163.2,74.2,5.1,156
67,110.4,50.2,4.11,151
24,150.7,68.5,6.2,187
67,139.3,63.3,5.6,167
40,165.2,75.1,6.2,187
24,146.5,66.6,5.7,169
19,168.1,76.4,5.3,160
60,247.5,112.5,5.1,177
32,169.4,77,5.7,170
41,240.5,109.3,5.8,173
54,131.6,59.8,5.5,165
65,221.1,100.5,5.7,169
60,216.9,98.6,6,184
57,212.3,96.5,5.6,167
47,174.5,79.3,6,184
54,147.2,66.9,5.3,159
39,253.2,115.1,6.1,185
26,194.7,88.5,6,182
25,165.7,75.3,5.1,155
51,229.5,104.3,5.11,181
26,151.4,68.8,5.9,175
46,148.5,67.5,5.1,154
64,200.2,91,5.9,176
56,180.2,81.9,5.3,160
35,138.4,62.9,5.11,181
33,118.8,54,5.8,172
21,114.8,52.2,5.5,165
28,196,89.1,5.8,173
51,161,73.2,5.7,171
27,200.9,91.3,5.5,165
36,180.4,82,5.4,163
52,218.5,99.3,5.1,178
27,152.9,69.5,5.3,159
18,183,83.2,5.5,164
50,163.2,74.2,5.6,168
69,176.7,80.3,5.5,165
27,136.4,62,5.9,175
33,225.5,102.5,6.2,189
57,246.8,112.2,6.1,185
63,160.4,72.9,5.5,166
28,138.6,63,5.3,159
37,179.7,81.7,5.7,170
55,214.3,97.4,5.9,174
22,197.3,89.7,5.6,168
59,217.4,98.8,5.7,169
46,191.8,87.2,5.9,174
26,202.4,92,5.1,179
35,227.5,103.4,5.8,172
44,220.2,100.1,5.1,154
61,216.7,98.5,5.6,167
43,173.4,78.8,6,183
40,219.1,99.6,5.7,171
67,156.4,71.1,5.3,159
38,212.5,96.6,6.2,189
66,163.9,74.5,5.3,159
59,214.1,97.3,5.6,168
27,204.6,93,6.3,190
53,131.8,59.9,5.7,171
56,162.1,73.7,5.7,171
18,215.4,97.9,5.1,178
63,201.5,91.6,5.5,165
25,152.5,69.3,6,183
20,218,99.1,5.1,177
66,224.8,102.2,5.5,164
59,210.5,95.7,5.6,167
70,148.7,67.6,5.6,168
20,182.4,82.9,5.5,165
19,159.1,72.3,5.7,170
18,148.7,67.6,5.1,178
49,188.5,85.7,5.11,180
46,186.3,84.7,5.5,166
27,160.4,72.9,6.2,188
68,163.2,74.2,5.5,166
39,188.5,85.7,5.7,170
20,99,45,5.1,154
26,191,86.8,6.2,188
20,183.9,83.6,5.1,178
30,151.1,68.7,5.9,174
18,170.7,77.6,5.8,172
57,223.3,101.5,5.9,175
52,161.7,73.5,5.4,162
23,155.8,70.8,5.9,176
69,145.9,66.3,6,183
56,186.3,84.7,6.1,186
67,158.2,71.9,5.5,165
41,213.2,96.9,5.6,168
18,169,76.8,5.7,171
38,154.9,70.4,5.3,159
61,192.3,87.4,6,182
40,161.5,73.4,5.6,168
58,200.4,91.1,5.6,167
43,187.9,85.4,5.7,170
52,243.1,110.5,6,184
18,128.3,58.3,5.5,164
48,187,85,6.1,185
23,130.7,59.4,5.7,171
29,172.9,78.6,6.2,188
58,179.5,81.6,6.1,186
23,176.9,80.4,6.2,188
52,200,90.9,5.7,171
47,155.1,70.5,6.2,187
44,164.6,74.8,5.9,176
41,137.5,62.5,5.6,168
37,165.4,75.2,5.6,167
33,171.6,78,6.2,187
39,184.6,83.9,5.3,160
22,197.8,89.9,5.11,181
40,153.6,69.8,5.7,170
44,191.6,87.1,5.2,158
47,145,65.9,5.1,156
29,168.5,76.6,5.5,166
63,200.2,91,5.5,165
67,165,75,5.7,171
37,226.2,102.8,5.9,176
42,155.5,70.7,6.2,187
49,152.9,69.5,5.8,172
26,187.9,85.4,6.3,190
56,229,104.1,5.11,181
18,192.5,87.5,5.7,169
64,129.4,58.8,5,152
61,144.8,65.8,6,182
44,215.8,98.1,5.7,171
52,152,69.1,5.7,171
53,200.2,91,5.6,167
40,151.1,68.7,5.1,154
48,201.3,91.5,5.8,172
36,235,106.8,6,182
70,181.9,82.7,5.6,168
38,138.6,63,5.1,156
61,137.3,62.4,6,184
64,115.5,52.5,5.1,155
32,189.4,86.1,6.3,190
20,160.4,72.9,5.6,168
62,218.9,99.5,5.7,171
50,195.6,88.9,5.8,173
53,115.3,52.4,5.8,172
45,134.2,61,5.2,157
60,234.5,106.6,5.1,178
55,169,76.8,5.6,167
31,123.2,56,5.4,162
68,194,88.2,5.7,171
60,147.4,67,5.7,171
56,221.5,100.7,5,153
64,230.8,104.9,5.9,176
54,180.6,82.1,5.6,168
23,224.6,102.1,6,183
20,168.5,76.6,5.3,161
53,143,65,5.8,172
66,146.5,66.6,5.6,168
65,188.5,85.7,6.1,185
36,253,115,5.8,173
32,184.4,83.8,5.6,168
42,196,89.1,5.11,180
64,160.4,72.9,5.5,165
19,176.7,80.3,4.11,151
30,128.3,58.3,5.2,157
28,117,53.2,5.3,159
